contract_id,vendor,agency,first_item_date,original_approved_usd,total_approved_usd,growth_usd,growth_pct,n_changes,months_to_first_change
E75B7400009,scientific games international,LOTT,2017-05-10,217126653.0,410412708.0,193286055.0,89.02,2,74
E00B8400029,revenue solutions,COMP,2018-12-19,117430895.0,117430895.0,0.0,0.0,0,
F50B2600044,strategic communications,DIT,2022-05-11,98000000.0,98000000.0,0.0,0.0,0,
J04B400015,fast enterprises,DOT/MVA,2018-04-04,66864484.0,66864484.0,0.0,0.0,0,
J05B2600003,scheidt and bachmann usa,DOT/MTA,2021-10-06,63640693.0,63640693.0,0.0,0.0,0,
J02B6400004,csc government solutions,DOT/SHA,2016-05-11,27221970.0,56446462.0,29224492.0,107.36,1,59
060B7400081,deloitte consulting services,DIT,2017-04-26,50000000.0,50000000.0,0.0,0.0,0,
J01B6400027,deloitte consulting,DOT,2017-02-08,44800000.0,44800000.0,0.0,0.0,0,
Q00B9400038,global tel link gtl,PS,2019-08-14,42915009.0,42915009.0,0.0,0.0,0,
E00B1600043,teradata government systems,COMP,2021-06-02,36255316.0,36255316.0,0.0,0.0,0,
Q00B1600049,fusion capital management d b a fusion,PS/IT&CD,2020-10-21,31214426.0,31214426.0,0.0,0.0,0,
001B0600408,shi international,DGS,2020-09-23,30000000.0,30000000.0,0.0,0.0,0,
S00B3600009,hp,HCD,2022-10-26,30000000.0,30000000.0,0.0,0.0,0,
001B1600087,verizon wireless,DGS,2021-01-27,28800000.0,28800000.0,0.0,0.0,0,
J05B7400014,trapeze software group,DOT/MTA,2017-04-26,27449855.0,27449855.0,0.0,0.0,0,
E75B1600009,igt global solutions,LOTT,2021-04-07,26931024.0,26931024.0,0.0,0.0,0,
060B6400007,carahsoft technology,DIT,2016-01-27,15000000.0,22000000.0,7000000.0,46.67,1,85
F50B9400020,hamilton telephone,DIT,2020-01-29,20874737.0,20874737.0,0.0,0.0,0,
060B0600016,nic usa,DIT,2019-07-24,9000000.0,20250000.0,11250000.0,125.0,4,14
060B6400011,day 1 solutions,DIT,2016-01-27,20000000.0,20000000.0,0.0,0.0,0,
F50B2600050,carahsoft technology,DIT,2022-06-08,10000000.0,20000000.0,10000000.0,100.0,1,12
F50B3600006,blackwood associates,DIT,2022-11-16,19631000.0,19631000.0,0.0,0.0,0,
D53B7400005,overland contracting,MIEMSS,2018-05-16,15748800.0,15748800.0,0.0,0.0,0,
J01B1600034,bentley systems,DOT,2021-07-07,15146924.0,15146924.0,0.0,0.0,0,
060B7400091,deloitte consulting,DIT,2017-05-24,15000000.0,15000000.0,0.0,0.0,0,
J01B7400006,bentley systems,DOT,2016-07-06,14504504.0,14504504.0,0.0,0.0,0,
F50B7400013,performa software usa,DBM,2016-09-07,8496911.0,14452546.0,5955635.0,70.09,2,36
W00B1600002,colossus d b a interact public safety systems,MSP,2020-10-21,11714705.0,11714705.0,0.0,0.0,0,
001B1600418,emaint enterprises,DGS,2021-06-16,10000000.0,10000000.0,0.0,0.0,0,
M00B6400536,social and scientific systems,HMH,2016-04-27,8975088.0,8975088.0,0.0,0.0,0,
Q00B2600053,911 security,PS,2022-03-23,8400000.0,8400000.0,0.0,0.0,0,
E00B1600005,ca,COMP,2020-12-16,7746115.0,7746115.0,0.0,0.0,0,
F10B2600044,jonas collections and recovery,DBM,2022-06-22,7692006.0,7692006.0,0.0,0.0,0,
R00B2600106,powerschool,EDUC,2022-07-06,7631251.0,7631251.0,0.0,0.0,0,
Q00B9400001,business and decision north america,PS/IT&CD,2018-11-14,7212500.0,7212500.0,0.0,0.0,0,
J04B1600007,ms technologies,DOT/MVA,2021-03-24,6734566.0,6734566.0,0.0,0.0,0,
W00B9400015,axon enterprises,MSP,2018-08-22,6724940.0,6724940.0,0.0,0.0,0,
R00B2600110,shi international,EDUC,2022-09-14,6602134.0,6602134.0,0.0,0.0,0,
060B8400058,bi,DIT,2019-03-20,6173063.0,6173063.0,0.0,0.0,0,
E00B2600026,ibm,COMP,2022-05-11,6123381.0,6123381.0,0.0,0.0,0,
Q00B8400021,gemalto cogent,PS,2018-12-19,6052369.0,6052369.0,0.0,0.0,0,
J01B6400040,ibm,DOT,2016-05-25,6023029.0,6023029.0,0.0,0.0,0,
E00B0600019,ibm,COMP,2020-03-04,5976474.0,5976474.0,0.0,0.0,0,
J02B0600023,g r patel and associates,DOT/SHA,2021-06-02,5952960.0,5952960.0,0.0,0.0,0,
R15B9400089,wgbh educational foundation,MPT,2018-10-03,5761504.0,5761504.0,0.0,0.0,0,
E00B8400037,ibm,COMP,2018-05-02,5761477.0,5761477.0,0.0,0.0,0,
060B8400039,data management formerly time clocks plus,DIT,2019-05-08,5750000.0,5750000.0,0.0,0.0,0,
J01B1600031,ibm,DOT,2021-06-02,5723731.0,5723731.0,0.0,0.0,0,
R15B3600020,contributor development partnership member service bureau,MPT,2022-10-26,5709562.0,5709562.0,0.0,0.0,0,
M00B9400464,dxc technology services,MDH,2019-06-05,5500000.0,5500000.0,0.0,0.0,0,
J01B6400003,kapsch trafficcom usa formerly transdyn,DOT/MdTA,2016-07-06,5182510.0,5182510.0,0.0,0.0,0,
N00B8400393,microsoft,DOHR/OTHS,2018-07-19,5077294.0,5077294.0,0.0,0.0,0,
R95B1600001,ellucian,BCCC,2020-11-04,4913982.0,4913982.0,0.0,0.0,0,
C81B5400002,journal technologies,ATTYGEN,2017-06-21,4435000.0,4435000.0,0.0,0.0,0,
J01B1600019,carbonado technologies,DOT,2021-03-24,4277000.0,4277000.0,0.0,0.0,0,
R00B2600108,edmentum,DGS,2022-12-21,4241781.0,4241781.0,0.0,0.0,0,
J05B7400002,clever devices,DOT/MTA,2017-01-25,2945082.0,4233074.0,1287992.0,43.73,1,30
M00B1600192,dxc ms,MDH,2020-10-21,4159738.0,4159738.0,0.0,0.0,0,
R00B2600114,amplify education,EDUC,2022-10-12,3990000.0,3990000.0,0.0,0.0,0,
R00B2600056,serigor,EDUC,2022-04-27,1157001.0,3903198.5,2746197.5,237.35,2,21
G20B8400005,lrwl,RETAGCY,2017-12-06,3833575.0,3833575.0,0.0,0.0,0,
R00B2600117,e builder,EDUC,2022-06-22,3726111.0,3726111.0,0.0,0.0,0,
001B8400083,periscope,DIT,2017-07-26,3682404.0,3682404.0,0.0,0.0,0,
F50B6400030,teltex,DIT,2016-06-22,3600000.0,3600000.0,0.0,0.0,0,
M00B9400253,vitalchek network lexis nexis,MDH,2018-12-19,3542992.0,3542992.0,0.0,0.0,0,
J01B0600011,vidsys,DOT,2020-01-08,3295077.0,3295077.0,0.0,0.0,0,
J01B8400029,carahsoft technology,DOT,2018-05-02,3236670.0,3236670.0,0.0,0.0,0,
M00B3600063,kzn consulting,MDH,2022-07-27,3229478.0,3229478.0,0.0,0.0,0,
J05B9400008,trapeze software group,DOT/MTA,2018-12-19,3212340.0,3212340.0,0.0,0.0,0,
F50B6400032,blue collar objects,DIT,2016-05-25,728198.0,3143730.0,2415532.0,331.71,1,23
E20B8400001,a and t systems,TREAS,2018-09-05,3050820.0,3050820.0,0.0,0.0,0,
M00B1600056,health risk screening,DOHR,2020-10-07,2952000.0,3021000.0,69000.0,2.34,1,11
J04B2600001,entrust datacard,DOT/MVA,2021-07-07,2894688.0,2894688.0,0.0,0.0,0,
J05B1600009,cubic transportation systems,DOT/MTA,2020-12-16,2763754.0,2892780.0,129026.0,4.67,0,
M00B9400286,in metrix,MDH,2019-05-08,2871972.0,2871972.0,0.0,0.0,0,
J01B6400051,ecosys management,DOT,2017-10-18,2761015.0,2761015.0,0.0,0.0,0,
P00B2600047,peraton state and local,MDL,2022-06-08,2685800.0,2685800.0,0.0,0.0,0,
M00B1600104,tierpoint,MDH,2020-09-02,2550530.0,2550530.0,0.0,0.0,0,
Q00B9400002,appriss,PS,2018-12-19,2480540.0,2480540.0,0.0,0.0,0,
E50B3600001,thomson reuter manatron,DAAT,2022-12-21,2417532.0,2417532.0,0.0,0.0,0,
Q00B8400001,datamaxx applied technologies,PS,2017-06-07,522596.0,2416074.0,1893478.0,362.32,0,
P00B1600073,american prison data systems pbc,MDL,2021-07-28,2392490.0,2392490.0,0.0,0.0,0,
P00B1600046,nec of america,MDL,2021-02-24,2380547.6,2380547.6,0.0,0.0,0,
E00B0600034,compuware,COMP,2020-05-06,2376700.0,2376700.0,0.0,0.0,0,
E00B6400084,ibm,COMP,2016-05-25,2347955.0,2347955.0,0.0,0.0,0,
060B2490022,ats applied technology services,MDH,2019-10-30,1542907.0,2286368.0,743461.0,48.19,0,
Q00B1600037,computer projects of illinois,PS,2021-07-28,2282118.0,2282118.0,0.0,0.0,0,
J05B3600003,swiftly,DOT/MTA,2022-12-21,2277370.0,2277370.0,0.0,0.0,0,
M00B7400039,santeon,HMH,2016-05-25,2272620.0,2272620.0,0.0,0.0,0,
E50B0600001,thomson reuter manatron,DAAT,2019-10-02,2191032.0,2191032.0,0.0,0.0,0,
J05B1600001,trapeze software group,DOT/MTA,2020-09-23,2183937.0,2183937.0,0.0,0.0,0,
J01B6400039,ibm,DOT,2016-05-25,2100097.0,2100097.0,0.0,0.0,0,
J01B0600021,carahsoft technology,DOT/MdTA,2021-03-10,2054832.0,2054832.0,0.0,0.0,0,
060B8400061,frost and sullivan,DIT,2018-08-01,2000000.0,2000000.0,0.0,0.0,0,
001B0600386,mci communications services d b a verizon business services,DGS,2020-05-20,2000000.0,2000000.0,0.0,0.0,0,
J01B2600025,ibm,DOT,2022-06-08,1977913.0,1977913.0,0.0,0.0,0,
J01B8400025,ibm,DOT,2018-05-16,1977232.0,1977232.0,0.0,0.0,0,
J05B0600012,swiftly,DOT/MTA,2020-01-08,1950000.0,1950000.0,0.0,0.0,0,
F10B0600060,ms technologies,DBM,2020-07-01,1944000.0,1944000.0,0.0,0.0,0,
J05B2600002,adp,DOT/MTA,2021-07-28,1895566.0,1895566.0,0.0,0.0,0,
J01P0600140,mythics,DOT,2020-11-18,1888967.0,1888967.0,0.0,0.0,0,
J01B1600033,ibm,DOT,2021-06-02,1887170.0,1887170.0,0.0,0.0,0,
Q00B0600031,gemalto cogent,PS/IT&CD,2019-10-30,1876021.0,1876021.0,0.0,0.0,0,
V00B6400109,sentinel offender services,DJS,2016-04-06,1856938.0,1856938.0,0.0,0.0,0,
D53B3600001,imagetrend,MIEMSS,2022-06-22,1817320.0,1817320.0,0.0,0.0,0,
J01B8400008,coban technologies,DOT/MdTA,2018-10-17,1800000.0,1800000.0,0.0,0.0,0,
J01B1600001,ibm,DOT,2020-06-17,1798355.0,1798355.0,0.0,0.0,0,
R00B1600001,alliance enterprises,EDUC,2020-08-12,1778529.0,1778529.0,0.0,0.0,0,
J01B0600001,ibm,DOT,2019-06-05,1742838.0,1742838.0,0.0,0.0,0,
